enemy_distance,health,ammo,under_attack,allies_nearby,action,reward,human_likeness
close,low,high,no,yes,defend,-1.0,0.0
far,medium,high,yes,no,advance,-1.0,0.0
medium,medium,high,no,yes,retreat,-1.0,0.0
medium,low,low,yes,yes,attack,-1.0,0.0
far,high,high,no,yes,retreat,-1.0,0.0
close,low,low,yes,no,defend,-1.0,0.0
close,low,low,yes,no,attack,-1.0,0.0
far,low,low,yes,no,attack,-1.0,0.0
medium,low,low,yes,no,defend,-1.0,0.0
close,medium,high,yes,no,defend,1.0,1.0
medium,high,high,yes,yes,reload,-1.0,0.0
far,medium,high,yes,no,attack,-1.0,0.0
close,high,high,no,yes,reload,-1.0,0.0
medium,low,high,no,yes,defend,-1.0,0.0
close,low,high,no,yes,defend,-1.0,0.0
medium,low,low,yes,yes,attack,-1.0,0.0
medium,medium,high,yes,no,retreat,-1.0,0.0
far,medium,low,no,no,retreat,-1.0,0.0
close,high,low,yes,no,advance,-1.0,0.0
close,medium,high,no,yes,attack,1.0,1.0
medium,medium,high,no,yes,retreat,-1.0,0.0
close,high,low,no,yes,defend,-1.0,0.0
close,medium,high,yes,no,defend,1.0,1.0
far,low,low,no,no,advance,-1.0,0.0
far,high,high,yes,no,attack,-1.0,0.0
far,medium,low,no,yes,advance,-1.0,0.0
medium,low,low,yes,no,attack,-1.0,0.0
medium,low,high,yes,yes,advance,-1.0,0.0
close,low,low,yes,yes,retreat,1.0,1.0
far,medium,high,no,no,defend,-1.0,0.0
close,medium,low,no,no,retreat,-1.0,0.0
far,low,high,yes,no,reload,-1.0,0.0
close,medium,low,no,yes,reload,1.0,1.0
medium,low,low,no,no,advance,-1.0,0.0
far,medium,low,no,no,advance,-1.0,0.0
close,low,high,no,yes,attack,-1.0,0.0
medium,low,high,yes,yes,reload,-1.0,0.0
far,high,high,no,no,defend,-1.0,0.0
far,low,low,yes,yes,attack,-1.0,0.0
far,low,low,yes,yes,advance,-1.0,0.0
close,medium,high,yes,no,retreat,-1.0,0.0
medium,low,high,no,yes,attack,1.0,1.0
medium,high,high,no,no,advance,-1.0,0.0
medium,high,low,yes,yes,reload,1.0,1.0
medium,high,low,yes,no,attack,-1.0,0.0
far,high,low,no,yes,attack,-1.0,0.0
close,low,high,yes,no,retreat,1.0,1.0
close,high,low,no,yes,attack,-1.0,0.0
medium,low,high,no,yes,attack,1.0,1.0
close,medium,high,no,yes,defend,-1.0,0.0
far,low,low,yes,no,advance,-1.0,0.0
far,low,low,no,yes,retreat,-1.0,0.0
close,medium,low,yes,no,defend,-1.0,0.0
medium,medium,low,no,no,defend,-1.0,0.0
far,low,high,no,no,defend,-1.0,0.0
close,high,high,yes,no,defend,-1.0,0.0
medium,high,low,yes,no,advance,-1.0,0.0
far,high,high,yes,yes,retreat,-1.0,0.0
close,low,low,yes,yes,defend,-1.0,0.0
medium,medium,low,yes,no,advance,-1.0,0.0
far,low,high,no,no,defend,-1.0,0.0
far,medium,high,yes,yes,advance,-1.0,0.0
close,high,high,no,no,retreat,-1.0,0.0
medium,medium,high,no,no,retreat,-1.0,0.0
medium,high,low,no,no,advance,-1.0,0.0
far,low,high,no,yes,reload,-1.0,0.0
far,low,low,yes,yes,retreat,-1.0,0.0
far,high,low,yes,yes,advance,-1.0,0.0
medium,medium,low,no,yes,defend,-1.0,0.0
far,high,high,no,yes,attack,-1.0,0.0
far,medium,high,no,no,defend,-1.0,0.0
far,medium,high,yes,yes,retreat,-1.0,0.0
medium,high,low,yes,yes,attack,-1.0,0.0
medium,low,low,yes,no,retreat,-1.0,0.0
far,medium,low,yes,yes,attack,-1.0,0.0
medium,high,high,yes,no,advance,-1.0,0.0
far,low,low,yes,yes,advance,-1.0,0.0
medium,high,low,yes,yes,defend,-1.0,0.0
medium,medium,low,no,yes,advance,-1.0,0.0
close,medium,low,no,yes,reload,1.0,1.0
far,low,high,no,no,reload,-1.0,0.0
far,medium,high,yes,no,reload,-1.0,0.0
close,high,low,no,yes,retreat,-1.0,0.0
close,high,high,no,yes,defend,-1.0,0.0
close,medium,low,yes,yes,defend,-1.0,0.0
medium,low,low,yes,no,attack,-1.0,0.0
medium,medium,high,no,yes,advance,-1.0,0.0
close,low,low,yes,yes,defend,-1.0,0.0
close,medium,low,no,no,advance,-1.0,0.0
far,medium,low,yes,no,reload,1.0,1.0
close,high,low,yes,no,defend,-1.0,0.0
far,high,high,yes,no,reload,-1.0,0.0
medium,low,low,yes,yes,retreat,-1.0,0.0
far,low,high,yes,yes,advance,1.0,1.0
far,medium,high,no,no,retreat,-1.0,0.0
far,medium,high,no,yes,advance,1.0,1.0
far,low,high,yes,yes,defend,-1.0,0.0
close,low,high,no,yes,defend,-1.0,0.0
far,high,high,no,yes,attack,-1.0,0.0
medium,low,high,no,no,defend,-1.0,0.0
close,high,low,yes,yes,reload,1.0,1.0
medium,low,high,yes,no,attack,1.0,1.0
far,low,low,no,no,advance,-1.0,0.0
far,medium,low,yes,yes,advance,-1.0,0.0
close,high,low,yes,no,advance,-1.0,0.0
medium,medium,high,no,yes,advance,-1.0,0.0
medium,high,high,no,no,defend,-1.0,0.0
medium,medium,high,no,no,retreat,-1.0,0.0
close,high,low,no,no,defend,-1.0,0.0
close,low,high,yes,no,defend,-1.0,0.0
medium,low,high,no,no,reload,-1.0,0.0
medium,high,low,no,no,advance,-1.0,0.0
medium,low,low,yes,yes,attack,-1.0,0.0
medium,medium,high,yes,no,defend,1.0,1.0
far,low,high,no,no,reload,-1.0,0.0
far,high,high,yes,no,defend,1.0,1.0
close,medium,low,yes,no,reload,1.0,1.0
far,high,high,yes,yes,retreat,-1.0,0.0
medium,low,high,yes,no,retreat,-1.0,0.0
far,high,high,no,no,retreat,-1.0,0.0
medium,high,high,no,no,defend,-1.0,0.0
far,high,high,yes,no,attack,-1.0,0.0
close,low,high,yes,no,reload,-1.0,0.0
close,medium,high,yes,no,retreat,-1.0,0.0
medium,medium,low,no,no,reload,1.0,1.0
medium,medium,high,no,no,attack,1.0,1.0
medium,high,low,no,yes,attack,-1.0,0.0
far,low,high,yes,yes,advance,1.0,1.0
medium,low,high,yes,yes,attack,1.0,1.0
medium,high,high,yes,no,reload,-1.0,0.0
close,medium,low,yes,yes,attack,-1.0,0.0
far,medium,high,no,no,retreat,-1.0,0.0
close,medium,high,no,no,retreat,-1.0,0.0
close,low,high,no,no,reload,-1.0,0.0
close,high,low,no,no,advance,-1.0,0.0
medium,low,high,no,yes,defend,-1.0,0.0
far,medium,high,no,no,advance,1.0,1.0
close,low,low,yes,no,advance,-1.0,0.0
medium,medium,low,yes,yes,advance,-1.0,0.0
medium,medium,low,no,yes,retreat,-1.0,0.0
far,medium,high,yes,no,defend,1.0,1.0
medium,high,low,yes,yes,advance,-1.0,0.0
far,medium,high,yes,no,reload,-1.0,0.0
far,high,low,yes,yes,reload,1.0,1.0
close,high,low,yes,yes,defend,-1.0,0.0
far,medium,low,yes,yes,attack,-1.0,0.0
medium,low,low,no,yes,defend,-1.0,0.0
close,low,high,yes,no,retreat,1.0,1.0
medium,low,low,yes,no,reload,1.0,1.0
close,high,low,yes,no,retreat,-1.0,0.0
close,low,high,no,yes,advance,-1.0,0.0
close,medium,low,no,no,defend,-1.0,0.0
medium,medium,high,no,no,attack,1.0,1.0
far,high,high,yes,no,attack,-1.0,0.0
close,medium,low,yes,yes,defend,-1.0,0.0
medium,high,low,yes,yes,attack,-1.0,0.0
close,high,high,no,no,retreat,-1.0,0.0
close,medium,low,no,yes,attack,-1.0,0.0
far,high,high,yes,yes,reload,-1.0,0.0
far,high,low,yes,no,retreat,-1.0,0.0
medium,low,low,no,yes,advance,-1.0,0.0
close,medium,high,yes,yes,retreat,-1.0,0.0
far,medium,low,yes,no,reload,1.0,1.0
medium,medium,high,yes,no,attack,-1.0,0.0
medium,high,low,yes,yes,attack,-1.0,0.0
medium,medium,low,no,no,reload,1.0,1.0
far,medium,low,yes,no,retreat,-1.0,0.0
medium,high,high,no,yes,advance,-1.0,0.0
medium,high,high,no,no,retreat,-1.0,0.0
close,low,low,yes,no,attack,-1.0,0.0
medium,medium,low,no,no,defend,-1.0,0.0
far,low,high,yes,no,attack,-1.0,0.0
far,medium,high,no,yes,retreat,-1.0,0.0
far,medium,low,no,yes,advance,-1.0,0.0
far,high,high,no,no,defend,-1.0,0.0
close,low,high,yes,yes,advance,-1.0,0.0
far,low,low,yes,no,attack,-1.0,0.0
close,medium,high,no,no,advance,-1.0,0.0
far,high,low,no,yes,advance,-1.0,0.0
close,medium,high,yes,yes,retreat,-1.0,0.0
close,medium,high,no,no,reload,-1.0,0.0
far,low,low,no,no,advance,-1.0,0.0
far,high,low,yes,yes,advance,-1.0,0.0
far,low,low,no,yes,attack,-1.0,0.0
close,low,high,no,no,reload,-1.0,0.0
medium,low,low,no,no,defend,-1.0,0.0
far,low,low,yes,yes,attack,-1.0,0.0
medium,low,high,yes,no,reload,-1.0,0.0
close,high,high,no,no,retreat,-1.0,0.0
far,medium,low,yes,no,attack,-1.0,0.0
medium,medium,low,no,yes,advance,-1.0,0.0
far,high,high,no,yes,advance,1.0,1.0
close,medium,low,yes,yes,retreat,-1.0,0.0
far,medium,low,no,no,advance,-1.0,0.0
medium,medium,low,yes,no,retreat,-1.0,0.0
far,low,low,no,no,attack,-1.0,0.0
medium,medium,low,no,yes,defend,-1.0,0.0
far,low,high,yes,yes,advance,1.0,1.0
close,low,high,yes,no,retreat,1.0,1.0
close,medium,low,yes,yes,retreat,-1.0,0.0
far,low,low,no,no,attack,-1.0,0.0
far,low,high,no,yes,advance,1.0,1.0
medium,medium,low,no,yes,defend,-1.0,0.0
far,high,high,yes,yes,defend,1.0,1.0
medium,medium,high,no,no,defend,-1.0,0.0
far,high,low,no,yes,retreat,-1.0,0.0
close,low,low,yes,no,retreat,1.0,1.0
medium,medium,low,no,no,defend,-1.0,0.0
close,low,low,yes,yes,advance,-1.0,0.0
far,high,low,yes,no,reload,1.0,1.0
close,low,low,yes,no,defend,-1.0,0.0
medium,medium,low,no,no,retreat,-1.0,0.0
medium,medium,high,no,no,defend,-1.0,0.0
far,low,high,yes,no,reload,-1.0,0.0
medium,high,high,yes,yes,retreat,-1.0,0.0
medium,medium,low,no,yes,defend,-1.0,0.0
close,high,low,no,yes,retreat,-1.0,0.0
close,low,low,no,no,reload,-1.0,0.0
far,low,low,no,no,reload,1.0,1.0
medium,high,high,yes,no,defend,1.0,1.0
medium,low,high,no,no,retreat,-1.0,0.0
far,low,high,no,no,attack,-1.0,0.0
close,low,low,yes,yes,reload,-1.0,0.0
far,high,low,yes,yes,attack,-1.0,0.0
medium,low,low,no,no,advance,-1.0,0.0
close,high,high,no,yes,retreat,-1.0,0.0
close,medium,low,yes,yes,reload,1.0,1.0
medium,medium,low,yes,yes,reload,1.0,1.0
close,medium,high,no,no,attack,1.0,1.0
far,medium,low,yes,yes,reload,1.0,1.0
close,low,low,yes,yes,advance,-1.0,0.0
close,high,high,yes,yes,reload,-1.0,0.0
medium,low,high,yes,no,attack,1.0,1.0
far,high,high,no,no,retreat,-1.0,0.0
medium,medium,low,yes,no,attack,-1.0,0.0
far,high,low,yes,no,reload,1.0,1.0
close,medium,low,no,yes,advance,-1.0,0.0
close,medium,high,no,yes,advance,-1.0,0.0
medium,low,low,no,yes,defend,-1.0,0.0
far,high,low,no,no,attack,-1.0,0.0
close,low,high,no,yes,defend,-1.0,0.0
far,low,high,yes,yes,retreat,-1.0,0.0
far,high,high,yes,no,advance,-1.0,0.0
close,medium,high,no,no,advance,-1.0,0.0
far,high,high,no,yes,defend,-1.0,0.0
close,low,high,no,yes,advance,-1.0,0.0
close,medium,low,yes,yes,advance,-1.0,0.0
far,high,low,no,no,attack,-1.0,0.0
far,low,high,no,yes,defend,-1.0,0.0
close,high,high,no,yes,advance,-1.0,0.0
close,low,high,no,no,retreat,1.0,1.0
far,low,high,no,no,retreat,-1.0,0.0
close,low,low,no,no,defend,-1.0,0.0
medium,high,high,yes,no,defend,1.0,1.0
far,medium,high,no,no,attack,-1.0,0.0
medium,high,low,no,no,advance,-1.0,0.0
close,medium,low,no,yes,defend,-1.0,0.0
far,medium,high,yes,no,defend,1.0,1.0
close,medium,low,yes,no,advance,-1.0,0.0
far,high,low,no,yes,defend,-1.0,0.0
close,low,high,yes,yes,reload,-1.0,0.0
far,medium,high,no,yes,retreat,-1.0,0.0
medium,high,low,no,yes,advance,-1.0,0.0
medium,medium,low,yes,yes,attack,-1.0,0.0
close,low,low,no,no,reload,-1.0,0.0
medium,high,low,no,no,attack,-1.0,0.0
close,high,high,yes,no,advance,-1.0,0.0
far,high,low,yes,yes,retreat,-1.0,0.0
close,low,high,no,yes,defend,-1.0,0.0
far,low,low,yes,no,defend,-1.0,0.0
close,low,low,no,yes,attack,-1.0,0.0
medium,medium,low,yes,yes,retreat,-1.0,0.0
medium,low,high,no,yes,retreat,-1.0,0.0
medium,low,high,no,yes,defend,-1.0,0.0
far,medium,high,no,yes,defend,-1.0,0.0
medium,low,low,yes,yes,defend,-1.0,0.0
close,low,high,yes,no,defend,-1.0,0.0
close,medium,high,no,no,retreat,-1.0,0.0
medium,high,low,no,no,reload,1.0,1.0
far,medium,high,no,yes,retreat,-1.0,0.0
medium,medium,low,yes,yes,advance,-1.0,0.0
close,high,high,yes,yes,advance,-1.0,0.0
medium,high,high,yes,no,defend,1.0,1.0
medium,medium,low,no,yes,reload,1.0,1.0
medium,medium,high,yes,yes,defend,1.0,1.0
medium,high,low,yes,yes,attack,-1.0,0.0
medium,low,high,no,yes,advance,-1.0,0.0
close,medium,high,yes,yes,attack,-1.0,0.0
far,low,low,yes,yes,advance,-1.0,0.0
close,medium,high,yes,yes,retreat,-1.0,0.0
medium,high,low,yes,no,advance,-1.0,0.0
far,high,high,no,no,retreat,-1.0,0.0
far,low,high,yes,no,reload,-1.0,0.0
far,low,low,no,yes,retreat,-1.0,0.0
close,medium,high,yes,no,reload,-1.0,0.0
close,medium,high,no,no,attack,1.0,1.0
medium,medium,low,yes,yes,defend,-1.0,0.0
close,medium,low,no,yes,retreat,-1.0,0.0
far,high,low,yes,yes,advance,-1.0,0.0
far,low,high,yes,yes,reload,-1.0,0.0
far,high,high,no,yes,defend,-1.0,0.0
close,low,high,yes,no,retreat,1.0,1.0
medium,high,high,yes,no,defend,1.0,1.0
medium,medium,high,yes,no,retreat,-1.0,0.0
far,high,low,yes,no,attack,-1.0,0.0
close,medium,high,no,no,retreat,-1.0,0.0
far,low,low,yes,yes,reload,1.0,1.0
medium,low,high,yes,no,advance,-1.0,0.0
far,medium,low,no,no,advance,-1.0,0.0
medium,low,low,no,no,reload,1.0,1.0
close,low,low,yes,no,defend,-1.0,0.0
medium,high,high,no,yes,defend,-1.0,0.0
far,medium,low,no,no,retreat,-1.0,0.0
medium,high,low,yes,no,reload,1.0,1.0
medium,medium,high,no,yes,defend,-1.0,0.0
medium,high,low,no,no,retreat,-1.0,0.0
medium,medium,high,yes,yes,advance,-1.0,0.0
close,high,low,yes,no,reload,1.0,1.0
medium,low,low,yes,no,advance,-1.0,0.0
far,high,low,yes,yes,defend,-1.0,0.0
close,high,low,yes,yes,retreat,-1.0,0.0
medium,high,high,no,no,defend,-1.0,0.0
far,high,high,no,no,advance,1.0,1.0
far,low,low,yes,yes,retreat,-1.0,0.0
close,medium,high,yes,yes,retreat,-1.0,0.0
medium,medium,high,no,no,advance,-1.0,0.0
close,high,high,yes,yes,advance,-1.0,0.0
far,medium,low,yes,yes,retreat,-1.0,0.0
close,medium,low,no,no,reload,1.0,1.0
medium,medium,high,no,yes,reload,-1.0,0.0
medium,low,high,no,no,attack,1.0,1.0
medium,high,low,no,no,advance,-1.0,0.0
far,high,high,no,yes,advance,1.0,1.0
close,low,low,yes,no,retreat,1.0,1.0
medium,low,high,no,no,attack,1.0,1.0
far,low,low,no,yes,advance,-1.0,0.0
close,low,high,no,no,attack,-1.0,0.0
close,high,low,no,no,attack,-1.0,0.0
medium,medium,high,yes,no,attack,-1.0,0.0
close,low,high,no,no,advance,-1.0,0.0
far,high,high,no,no,attack,-1.0,0.0
far,low,high,no,no,reload,-1.0,0.0
far,low,high,no,yes,advance,1.0,1.0
medium,low,low,yes,yes,retreat,-1.0,0.0
far,low,high,yes,yes,defend,-1.0,0.0
far,medium,low,yes,yes,advance,-1.0,0.0
far,low,high,no,yes,attack,-1.0,0.0
close,high,low,no,yes,advance,-1.0,0.0
close,high,low,no,yes,advance,-1.0,0.0
close,medium,high,no,yes,retreat,-1.0,0.0
close,medium,low,no,no,defend,-1.0,0.0
medium,high,low,no,no,reload,1.0,1.0
close,high,high,no,yes,retreat,-1.0,0.0
medium,medium,high,yes,yes,attack,-1.0,0.0
far,high,low,yes,yes,attack,-1.0,0.0
far,high,high,yes,yes,defend,1.0,1.0
far,medium,low,no,no,reload,1.0,1.0
close,medium,low,yes,no,retreat,-1.0,0.0
close,high,high,no,yes,defend,-1.0,0.0
medium,high,low,no,no,retreat,-1.0,0.0
close,high,high,yes,no,defend,-1.0,0.0
far,low,low,yes,no,reload,1.0,1.0
far,medium,low,no,no,defend,-1.0,0.0
far,low,high,no,no,retreat,-1.0,0.0
close,medium,low,no,no,advance,-1.0,0.0
medium,high,high,yes,no,retreat,-1.0,0.0
far,low,high,yes,yes,advance,1.0,1.0
close,low,low,yes,yes,attack,-1.0,0.0
medium,high,low,no,no,retreat,-1.0,0.0
close,high,high,yes,no,attack,1.0,1.0
far,medium,high,no,no,defend,-1.0,0.0
close,low,low,no,no,attack,-1.0,0.0
close,medium,low,no,no,reload,1.0,1.0
far,low,high,no,no,reload,-1.0,0.0
medium,low,low,no,no,attack,-1.0,0.0
close,medium,low,yes,yes,attack,-1.0,0.0
close,low,low,yes,no,retreat,1.0,1.0
far,medium,high,no,no,reload,-1.0,0.0
close,low,low,no,no,retreat,1.0,1.0
medium,medium,high,yes,yes,retreat,-1.0,0.0
medium,high,low,no,no,defend,-1.0,0.0
close,high,high,yes,yes,defend,-1.0,0.0
medium,medium,high,yes,yes,defend,1.0,1.0
far,low,low,yes,yes,advance,-1.0,0.0
far,high,low,yes,yes,defend,-1.0,0.0
far,high,low,yes,yes,retreat,-1.0,0.0
close,high,high,yes,yes,attack,1.0,1.0
far,medium,high,no,yes,defend,-1.0,0.0
close,low,low,yes,yes,defend,-1.0,0.0
close,low,low,yes,yes,defend,-1.0,0.0
close,high,high,no,yes,attack,1.0,1.0
medium,low,high,yes,yes,retreat,-1.0,0.0
far,high,high,yes,yes,retreat,-1.0,0.0
close,low,low,yes,no,retreat,1.0,1.0
medium,medium,high,no,yes,defend,-1.0,0.0
far,high,high,yes,no,attack,-1.0,0.0
far,medium,high,yes,no,attack,-1.0,0.0
medium,medium,high,no,no,advance,-1.0,0.0
far,low,low,yes,yes,defend,-1.0,0.0
close,high,high,yes,yes,attack,1.0,1.0
medium,low,low,no,no,defend,-1.0,0.0
medium,medium,high,yes,yes,defend,1.0,1.0
close,high,high,yes,yes,attack,1.0,1.0
medium,low,high,no,yes,defend,-1.0,0.0
medium,medium,low,yes,no,reload,1.0,1.0
close,low,high,no,no,defend,-1.0,0.0
far,medium,low,no,no,defend,-1.0,0.0
medium,low,low,no,yes,reload,1.0,1.0
medium,low,high,no,no,advance,-1.0,0.0
far,medium,high,no,no,attack,-1.0,0.0
close,low,low,no,no,attack,-1.0,0.0
far,low,low,yes,no,advance,-1.0,0.0
medium,low,high,yes,yes,attack,1.0,1.0
close,high,low,yes,yes,advance,-1.0,0.0
close,low,high,yes,no,defend,-1.0,0.0
medium,medium,high,yes,yes,attack,-1.0,0.0
medium,medium,high,yes,yes,defend,1.0,1.0
far,high,low,no,yes,attack,-1.0,0.0
medium,low,low,no,no,retreat,-1.0,0.0
medium,low,low,yes,yes,defend,-1.0,0.0
medium,high,high,yes,no,advance,-1.0,0.0
far,low,low,yes,yes,retreat,-1.0,0.0
far,low,low,yes,no,defend,-1.0,0.0
far,high,low,no,no,reload,1.0,1.0
far,low,high,yes,yes,retreat,-1.0,0.0
medium,low,high,no,no,reload,-1.0,0.0
medium,high,high,no,yes,attack,1.0,1.0
far,medium,low,yes,no,attack,-1.0,0.0
far,high,low,yes,no,advance,-1.0,0.0
medium,high,low,no,no,reload,1.0,1.0
medium,medium,high,no,yes,retreat,-1.0,0.0
far,high,low,no,no,advance,-1.0,0.0
far,medium,high,no,no,advance,1.0,1.0
medium,medium,low,no,no,retreat,-1.0,0.0
medium,low,high,no,no,retreat,-1.0,0.0
far,high,high,no,yes,attack,-1.0,0.0
medium,high,high,no,yes,retreat,-1.0,0.0
far,medium,low,yes,yes,defend,-1.0,0.0
medium,low,low,no,no,attack,-1.0,0.0
far,medium,low,no,yes,attack,-1.0,0.0
far,medium,low,no,no,reload,1.0,1.0
medium,medium,low,no,yes,advance,-1.0,0.0
close,low,high,yes,yes,attack,-1.0,0.0
far,low,low,no,yes,attack,-1.0,0.0
medium,high,low,no,no,advance,-1.0,0.0
close,low,high,no,no,reload,-1.0,0.0
close,low,high,no,no,advance,-1.0,0.0
medium,high,high,no,no,attack,1.0,1.0
close,high,low,no,no,attack,-1.0,0.0
medium,low,high,yes,yes,advance,-1.0,0.0
close,high,low,no,no,retreat,-1.0,0.0
medium,high,low,yes,no,reload,1.0,1.0
far,high,low,yes,yes,attack,-1.0,0.0
medium,high,high,yes,yes,attack,-1.0,0.0
medium,medium,low,yes,no,advance,-1.0,0.0
close,medium,high,no,no,advance,-1.0,0.0
close,high,high,no,yes,advance,-1.0,0.0
medium,high,low,no,no,defend,-1.0,0.0
medium,high,high,yes,yes,attack,-1.0,0.0
close,medium,high,yes,yes,reload,-1.0,0.0
close,low,low,yes,no,defend,-1.0,0.0
far,low,low,yes,yes,defend,-1.0,0.0
medium,medium,low,no,no,reload,1.0,1.0
far,low,high,yes,no,attack,-1.0,0.0
medium,high,high,no,yes,attack,1.0,1.0
far,low,low,yes,yes,reload,1.0,1.0
medium,high,low,no,no,advance,-1.0,0.0
medium,low,low,no,yes,defend,-1.0,0.0
medium,medium,high,yes,no,advance,-1.0,0.0
far,low,high,no,yes,reload,-1.0,0.0
close,medium,low,yes,no,defend,-1.0,0.0
far,low,high,yes,no,retreat,-1.0,0.0
medium,medium,low,no,no,retreat,-1.0,0.0
far,medium,high,no,no,retreat,-1.0,0.0
far,medium,low,yes,no,advance,-1.0,0.0
far,medium,low,no,yes,attack,-1.0,0.0
far,medium,low,no,yes,reload,1.0,1.0
medium,medium,high,yes,yes,defend,1.0,1.0
medium,low,low,yes,no,attack,-1.0,0.0
far,low,high,no,no,attack,-1.0,0.0
medium,medium,low,yes,yes,retreat,-1.0,0.0
far,medium,low,no,yes,retreat,-1.0,0.0
close,medium,low,yes,no,retreat,-1.0,0.0
close,low,low,yes,yes,reload,-1.0,0.0
far,high,high,no,no,attack,-1.0,0.0
close,low,low,yes,yes,retreat,1.0,1.0
medium,medium,low,yes,yes,retreat,-1.0,0.0
close,medium,low,no,yes,advance,-1.0,0.0
close,medium,low,no,no,reload,1.0,1.0
medium,high,low,no,yes,reload,1.0,1.0
close,low,high,yes,yes,attack,-1.0,0.0
close,low,low,yes,yes,retreat,1.0,1.0
close,high,high,no,yes,retreat,-1.0,0.0
far,high,high,no,yes,advance,1.0,1.0
close,low,low,no,no,defend,-1.0,0.0
far,low,high,no,yes,advance,1.0,1.0
medium,medium,low,yes,no,advance,-1.0,0.0
close,low,low,no,no,attack,-1.0,0.0
medium,medium,low,no,yes,defend,-1.0,0.0
far,low,low,yes,yes,reload,1.0,1.0
far,high,low,yes,no,advance,-1.0,0.0
close,low,low,yes,yes,defend,-1.0,0.0
close,low,high,no,yes,reload,-1.0,0.0
far,high,low,no,yes,defend,-1.0,0.0
close,medium,high,no,no,attack,1.0,1.0
medium,high,low,yes,yes,defend,-1.0,0.0
close,low,low,no,no,reload,-1.0,0.0
far,high,high,yes,yes,reload,-1.0,0.0
medium,high,low,yes,no,advance,-1.0,0.0
close,high,high,yes,no,reload,-1.0,0.0
medium,high,high,no,yes,attack,1.0,1.0
medium,high,high,yes,yes,reload,-1.0,0.0
far,low,low,yes,no,advance,-1.0,0.0
far,medium,low,yes,no,attack,-1.0,0.0
far,medium,low,no,no,attack,-1.0,0.0
close,low,high,yes,yes,advance,-1.0,0.0
medium,low,low,yes,yes,defend,-1.0,0.0
close,medium,high,yes,no,retreat,-1.0,0.0
medium,low,high,no,no,retreat,-1.0,0.0
far,low,low,no,no,attack,-1.0,0.0
far,high,high,yes,no,retreat,-1.0,0.0
close,low,low,yes,yes,reload,-1.0,0.0
medium,medium,low,yes,no,advance,-1.0,0.0
close,medium,high,yes,no,defend,1.0,1.0
close,low,low,yes,yes,attack,-1.0,0.0
far,low,high,no,yes,retreat,-1.0,0.0
close,high,high,no,no,reload,-1.0,0.0
medium,low,low,yes,no,reload,1.0,1.0
medium,medium,low,yes,yes,advance,-1.0,0.0
medium,high,high,yes,yes,retreat,-1.0,0.0
medium,medium,high,no,no,attack,1.0,1.0
medium,medium,low,yes,yes,defend,-1.0,0.0
medium,high,low,no,no,retreat,-1.0,0.0
far,low,low,yes,no,defend,-1.0,0.0
far,high,high,no,no,attack,-1.0,0.0
close,high,high,yes,yes,attack,1.0,1.0
close,low,low,no,no,defend,-1.0,0.0
far,medium,high,yes,yes,reload,-1.0,0.0
far,medium,low,yes,yes,reload,1.0,1.0
close,high,low,yes,yes,defend,-1.0,0.0
medium,high,low,yes,yes,advance,-1.0,0.0
medium,low,low,yes,no,attack,-1.0,0.0
far,low,high,no,yes,advance,1.0,1.0
far,low,high,yes,no,reload,-1.0,0.0
close,medium,low,no,yes,reload,1.0,1.0
medium,low,low,yes,no,defend,-1.0,0.0
medium,medium,low,yes,no,reload,1.0,1.0
close,low,high,no,yes,advance,-1.0,0.0
medium,low,high,no,no,attack,1.0,1.0
close,low,low,yes,yes,reload,-1.0,0.0
close,high,low,no,no,defend,-1.0,0.0
medium,high,low,no,yes,defend,-1.0,0.0
far,high,low,yes,no,advance,-1.0,0.0
far,medium,low,yes,no,advance,-1.0,0.0
far,high,high,no,no,defend,-1.0,0.0
medium,medium,high,yes,yes,reload,-1.0,0.0
far,high,high,no,no,reload,-1.0,0.0
medium,low,high,no,yes,attack,1.0,1.0
medium,medium,high,yes,no,advance,-1.0,0.0
far,high,low,yes,yes,advance,-1.0,0.0
close,high,high,yes,no,attack,1.0,1.0
medium,medium,high,yes,no,defend,1.0,1.0
far,low,high,no,yes,defend,-1.0,0.0
close,low,high,no,no,retreat,1.0,1.0
medium,low,low,yes,no,retreat,-1.0,0.0
close,high,high,yes,no,advance,-1.0,0.0
close,high,high,yes,no,advance,-1.0,0.0
far,high,high,no,no,advance,1.0,1.0
close,high,high,no,yes,attack,1.0,1.0
medium,high,high,no,no,advance,-1.0,0.0
medium,medium,low,yes,yes,attack,-1.0,0.0
far,low,high,yes,no,retreat,-1.0,0.0
close,medium,high,no,no,defend,-1.0,0.0
close,high,low,no,no,retreat,-1.0,0.0
medium,medium,high,yes,no,retreat,-1.0,0.0
far,medium,high,no,yes,defend,-1.0,0.0
far,high,low,yes,yes,defend,-1.0,0.0
far,low,low,no,yes,reload,1.0,1.0
close,high,low,no,yes,reload,1.0,1.0
far,high,high,no,yes,attack,-1.0,0.0
far,high,low,yes,no,attack,-1.0,0.0
close,high,low,yes,no,advance,-1.0,0.0
far,medium,low,no,yes,retreat,-1.0,0.0
far,medium,high,yes,yes,retreat,-1.0,0.0
far,high,high,yes,yes,reload,-1.0,0.0
far,low,high,yes,yes,reload,-1.0,0.0
far,medium,high,yes,no,reload,-1.0,0.0
close,high,high,no,no,attack,1.0,1.0
close,high,high,no,no,attack,1.0,1.0
medium,low,low,yes,yes,retreat,-1.0,0.0
